transaction_id,old_parent,old_president_name,new_parent,new_president_name,child,type,date
2403-03_tr_20,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Minister of Foreign Affairs,minister,2024-09-23
2403-03_tr_21,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,"Minister of Buddhasasana, Religious and Cultural Affairs",minister,2024-09-23
2403-03_tr_22,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Minister of Power and Energy,minister,2024-09-23
2403-03_tr_23,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Minister of Environment,minister,2024-09-23
2403-03_tr_24,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Minister of Sports and Youth Affairs,minister,2024-09-23
2403-03_tr_25,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Minister of Irrigation,minister,2024-09-23
2403-03_tr_26,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Minister of Labour and Foreign Employment,minister,2024-09-23
2403-03_tr_27,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Minister of Public Security,minister,2024-09-23
2403-03_tr_28,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,"Minister of Trade, Commerce and Food Security",minister,2024-09-23
2403-03_tr_29,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,State Minister of Higher Education,minister,2024-09-23
2403-03_tr_30,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Non Cabinet Minister of State Plantation Enterprises Reforms,minister,2024-09-23
2403-03_tr_31,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,State Minister of Sports and Youth Affairs,minister,2024-09-23
2403-03_tr_32,Ranil Wickremesinghe,Ranil Wickremesinghe,Anura Kumara Dissanayake,Anura Kumara Dissanayake,Non Cabinet Minister of Development Projects,minister,2024-09-23
